,Name of Mobile,Mobile Price,Mobile Ratings,Mobile Images,Mobile Links
0,"realme Narzo 50 (Speed Blue, 64 GB)","11,999",4.5,https://rukminim1.flixcart.com/image/312/312/l0bbonk0/shopsy-mobile/p/k/x/-original-imagc4qj5ejywxnv.jpeg?q=70,https://www.flipkart.com/realme-narzo-50-speed-blue-64-gb/p/itm9d47ef5d10145?pid=MOBGC2E72ZFW9HBY&lid=LSTMOBGC2E72ZFW9HBYP8MQ5X&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_1&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=c17c67b6-a42e-4fca-b4be-40c68ffaef1b.MOBGC2E72ZFW9HBY.SEARCH&ppt=None&ppn=None&ssid=5qvd37muww0000001658337942325
1,"realme Narzo 50 (Speed Blue, 128 GB)","14,499",4.3,https://rukminim1.flixcart.com/image/312/312/l0bbonk0/shopsy-mobile/p/k/x/-original-imagc4qj5ejywxnv.jpeg?q=70,https://www.flipkart.com/realme-narzo-50-speed-blue-128-gb/p/itm9d47ef5d10145?pid=MOBGC2E7KHZD6MDD&lid=LSTMOBGC2E7KHZD6MDDUKG4CJ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_2&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=c17c67b6-a42e-4fca-b4be-40c68ffaef1b.MOBGC2E7KHZD6MDD.SEARCH&ppt=None&ppn=None&ssid=5qvd37muww0000001658337942325
2,"realme Narzo 50 (Speed Black, 128 GB)","14,499",4.3,https://rukminim1.flixcart.com/image/312/312/l0bbonk0/shopsy-mobile/k/4/l/-original-imagc4qjnkzhty3h.jpeg?q=70,https://www.flipkart.com/realme-narzo-50-speed-black-128-gb/p/itm9d47ef5d10145?pid=MOBGC2E7VUH9YBWT&lid=LSTMOBGC2E7VUH9YBWTHCAUBJ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_3&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=c17c67b6-a42e-4fca-b4be-40c68ffaef1b.MOBGC2E7VUH9YBWT.SEARCH&ppt=None&ppn=None&ssid=5qvd37muww0000001658337942325
3,"realme Narzo 50 (Speed Black, 64 GB)","11,999",4.5,https://rukminim1.flixcart.com/image/312/312/l0bbonk0/shopsy-mobile/k/4/l/-original-imagc4qjnkzhty3h.jpeg?q=70,https://www.flipkart.com/realme-narzo-50-speed-black-64-gb/p/itm9d47ef5d10145?pid=MOBGC2E7QBD3ARH2&lid=LSTMOBGC2E7QBD3ARH28JKTRN&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_4&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=c17c67b6-a42e-4fca-b4be-40c68ffaef1b.MOBGC2E7QBD3ARH2.SEARCH&ppt=None&ppn=None&ssid=5qvd37muww0000001658337942325
4,"realme 9i (Prism Blue, 128 GB)","16,049",4.5,https://rukminim1.flixcart.com/image/312/312/ky90scw0/mobile/s/5/d/-original-imagagnfgh6ed7tp.jpeg?q=70,https://www.flipkart.com/realme-9i-prism-blue-128-gb/p/itm3e9987219f652?pid=MOBG9VGV2Q9PDXHN&lid=LSTMOBG9VGV2Q9PDXHNX3XN33&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_5&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=c17c67b6-a42e-4fca-b4be-40c68ffaef1b.MOBG9VGV2Q9PDXHN.SEARCH&ppt=None&ppn=None&ssid=5qvd37muww0000001658337942325
5,"realme 9i (Prism Black, 128 GB)","15,159",4.5,https://rukminim1.flixcart.com/image/312/312/ky90scw0/mobile/m/r/u/-original-imagagnffruu7ptd.jpeg?q=70,https://www.flipkart.com/realme-9i-prism-black-128-gb/p/itm3e9987219f652?pid=MOBGBMZH9X7PQZJZ&lid=LSTMOBGBMZH9X7PQZJZNQTN2Q&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_6&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=c17c67b6-a42e-4fca-b4be-40c68ffaef1b.MOBGBMZH9X7PQZJZ.SEARCH&ppt=None&ppn=None&ssid=5qvd37muww0000001658337942325
6,"realme 9i (Prism Black, 128 GB)","16,049",4.5,https://rukminim1.flixcart.com/image/312/312/ky90scw0/mobile/m/r/u/-original-imagagnffruu7ptd.jpeg?q=70,https://www.flipkart.com/realme-9i-prism-black-128-gb/p/itm3e9987219f652?pid=MOBG9VGV65TK6YZG&lid=LSTMOBG9VGV65TK6YZGOTCEDF&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_7&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=c17c67b6-a42e-4fca-b4be-40c68ffaef1b.MOBG9VGV65TK6YZG.SEARCH&ppt=None&ppn=None&ssid=5qvd37muww0000001658337942325
7,"realme 9i (Prism Blue, 64 GB)","13,579",4.5,https://rukminim1.flixcart.com/image/312/312/ky90scw0/mobile/s/5/d/-original-imagagnfgh6ed7tp.jpeg?q=70,https://www.flipkart.com/realme-9i-prism-blue-64-gb/p/itm3e9987219f652?pid=MOBG9VGVKUM4XNRR&lid=LSTMOBG9VGVKUM4XNRRJW5YNZ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_8&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=c17c67b6-a42e-4fca-b4be-40c68ffaef1b.MOBG9VGVKUM4XNRR.SEARCH&ppt=None&ppn=None&ssid=5qvd37muww0000001658337942325
8,"realme 9i (Prism Black, 64 GB)","13,579",4.5,https://rukminim1.flixcart.com/image/312/312/ky90scw0/mobile/m/r/u/-original-imagagnffruu7ptd.jpeg?q=70,https://www.flipkart.com/realme-9i-prism-black-64-gb/p/itm3e9987219f652?pid=MOBG9VGVYG2XHZGR&lid=LSTMOBG9VGVYG2XHZGRXF8S1K&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_9&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=c17c67b6-a42e-4fca-b4be-40c68ffaef1b.MOBG9VGVYG2XHZGR.SEARCH&ppt=None&ppn=None&ssid=5qvd37muww0000001658337942325
9,"realme 9i (Prism Blue, 128 GB)","15,159",4.5,https://rukminim1.flixcart.com/image/312/312/ky90scw0/mobile/s/5/d/-original-imagagnfgh6ed7tp.jpeg?q=70,https://www.flipkart.com/realme-9i-prism-blue-128-gb/p/itm3e9987219f652?pid=MOBGBMZHMUHYWFAE&lid=LSTMOBGBMZHMUHYWFAE85XWU8&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_10&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=c17c67b6-a42e-4fca-b4be-40c68ffaef1b.MOBGBMZHMUHYWFAE.SEARCH&ppt=None&ppn=None&ssid=5qvd37muww0000001658337942325
