,Mobile name,Mobile Price,Mobile Images,Mobile Links
0,"realme Narzo 50i (Mint Green, 32 GB)","7,499",https://rukminim1.flixcart.com/image/312/312/ktx9si80/mobile/s/o/j/narzo-50i-rmx3231-realme-original-imag75h86v5thnzy.jpeg?q=70,https://www.flipkart.com/realme-narzo-50i-mint-green-32-gb/p/itm53fa214c23501?pid=MOBG6MY4BU22NQYT&lid=LSTMOBG6MY4BU22NQYTSR1ENM&marketplace=FLIPKART&q=mobiles+under+20000+camera+phone&store=tyy%2F4io&srno=s_1_1&otracker=AS_Query_OrganicAutoSuggest_4_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_8_na_na_na&fm=organic&iid=c70f77c6-5451-4328-a4ea-ddf82486c5d0.MOBG6MY4BU22NQYT.SEARCH&ppt=None&ppn=None&ssid=ez0nwqvops0000001658448527538&qH=361303bcbce3da42
1,"realme Narzo 50i (Carbon Black, 32 GB)","7,499",https://rukminim1.flixcart.com/image/312/312/ktx9si80/mobile/h/b/c/narzo-50i-rmx3231-realme-original-imag75hcyzzggbat.jpeg?q=70,https://www.flipkart.com/realme-narzo-50i-carbon-black-32-gb/p/itm53fa214c23501?pid=MOBG6MY4QPAW6PQN&lid=LSTMOBG6MY4QPAW6PQN7E18VA&marketplace=FLIPKART&q=mobiles+under+20000+camera+phone&store=tyy%2F4io&srno=s_1_2&otracker=AS_Query_OrganicAutoSuggest_4_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_8_na_na_na&fm=organic&iid=c70f77c6-5451-4328-a4ea-ddf82486c5d0.MOBG6MY4QPAW6PQN.SEARCH&ppt=None&ppn=None&ssid=ez0nwqvops0000001658448527538&qH=361303bcbce3da42
2,"realme Narzo 50i (Carbon Black, 64 GB)","8,999",https://rukminim1.flixcart.com/image/312/312/ktx9si80/mobile/h/b/c/narzo-50i-rmx3231-realme-original-imag75hcyzzggbat.jpeg?q=70,https://www.flipkart.com/realme-narzo-50i-carbon-black-64-gb/p/itm53fa214c23501?pid=MOBG6MY4ZDGGZ8Q9&lid=LSTMOBG6MY4ZDGGZ8Q9S886KJ&marketplace=FLIPKART&q=mobiles+under+20000+camera+phone&store=tyy%2F4io&srno=s_1_3&otracker=AS_Query_OrganicAutoSuggest_4_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_8_na_na_na&fm=organic&iid=c70f77c6-5451-4328-a4ea-ddf82486c5d0.MOBG6MY4ZDGGZ8Q9.SEARCH&ppt=None&ppn=None&ssid=ez0nwqvops0000001658448527538&qH=361303bcbce3da42
3,"realme Narzo 50i (Mint Green, 64 GB)","8,999",https://rukminim1.flixcart.com/image/312/312/ktx9si80/mobile/s/o/j/narzo-50i-rmx3231-realme-original-imag75h86v5thnzy.jpeg?q=70,https://www.flipkart.com/realme-narzo-50i-mint-green-64-gb/p/itm53fa214c23501?pid=MOBG6MY4FYFMQ3JF&lid=LSTMOBG6MY4FYFMQ3JFAYLDK3&marketplace=FLIPKART&q=mobiles+under+20000+camera+phone&store=tyy%2F4io&srno=s_1_4&otracker=AS_Query_OrganicAutoSuggest_4_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_8_na_na_na&fm=organic&iid=c70f77c6-5451-4328-a4ea-ddf82486c5d0.MOBG6MY4FYFMQ3JF.SEARCH&ppt=None&ppn=None&ssid=ez0nwqvops0000001658448527538&qH=361303bcbce3da42
4,"POCO C31 (Shadow Gray, 64 GB)","9,999",https://rukminim1.flixcart.com/image/312/312/ku4ezrk0/mobile/b/o/m/c31-mzb0a0min-poco-original-imag7bzqxekkpkrv.jpeg?q=70,https://www.flipkart.com/poco-c31-shadow-gray-64-gb/p/itm162375acb8370?pid=MOBG73E7UBFXXMCH&lid=LSTMOBG73E7UBFXXMCHSM0ZN5&marketplace=FLIPKART&q=mobiles+under+20000+camera+phone&store=tyy%2F4io&srno=s_1_5&otracker=AS_Query_OrganicAutoSuggest_4_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_8_na_na_na&fm=organic&iid=c70f77c6-5451-4328-a4ea-ddf82486c5d0.MOBG73E7UBFXXMCH.SEARCH&ppt=None&ppn=None&ssid=ez0nwqvops0000001658448527538&qH=361303bcbce3da42
5,"POCO C31 (Royal Blue, 64 GB)","9,999",https://rukminim1.flixcart.com/image/312/312/ku4ezrk0/mobile/p/e/4/c31-mzb0a0jin-poco-original-imag7bzqxgdhgf2n.jpeg?q=70,https://www.flipkart.com/poco-c31-royal-blue-64-gb/p/itm19effae969b86?pid=MOBG73E7GKQK4KZP&lid=LSTMOBG73E7GKQK4KZPR5ICMK&marketplace=FLIPKART&q=mobiles+under+20000+camera+phone&store=tyy%2F4io&srno=s_1_6&otracker=AS_Query_OrganicAutoSuggest_4_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_8_na_na_na&fm=organic&iid=c70f77c6-5451-4328-a4ea-ddf82486c5d0.MOBG73E7GKQK4KZP.SEARCH&ppt=None&ppn=None&ssid=ez0nwqvops0000001658448527538&qH=361303bcbce3da42
6,"realme Narzo 50 (Speed Blue, 64 GB)","12,999",https://rukminim1.flixcart.com/image/312/312/l0bbonk0/shopsy-mobile/p/k/x/-original-imagc4qj5ejywxnv.jpeg?q=70,https://www.flipkart.com/realme-narzo-50-speed-blue-64-gb/p/itm9d47ef5d10145?pid=MOBGC2E72ZFW9HBY&lid=LSTMOBGC2E72ZFW9HBYP8MQ5X&marketplace=FLIPKART&q=mobiles+under+20000+camera+phone&store=tyy%2F4io&srno=s_1_7&otracker=AS_Query_OrganicAutoSuggest_4_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_8_na_na_na&fm=organic&iid=c70f77c6-5451-4328-a4ea-ddf82486c5d0.MOBGC2E72ZFW9HBY.SEARCH&ppt=None&ppn=None&ssid=ez0nwqvops0000001658448527538&qH=361303bcbce3da42
7,"REDMI 10 (Pacific Blue, 64 GB)","9,999",https://rukminim1.flixcart.com/image/312/312/l0tweq80/mobile/w/r/t/-original-imagcgtgwg5taegn.jpeg?q=70,https://www.flipkart.com/redmi-10-pacific-blue-64-gb/p/itm0f2a6a2112b75?pid=MOBGC9GYCHQZK9GW&lid=LSTMOBGC9GYCHQZK9GW1PUFXX&marketplace=FLIPKART&q=mobiles+under+20000+camera+phone&store=tyy%2F4io&srno=s_1_8&otracker=AS_Query_OrganicAutoSuggest_4_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_8_na_na_na&fm=organic&iid=c70f77c6-5451-4328-a4ea-ddf82486c5d0.MOBGC9GYCHQZK9GW.SEARCH&ppt=None&ppn=None&ssid=ez0nwqvops0000001658448527538&qH=361303bcbce3da42
8,"realme Narzo 50 (Speed Black, 64 GB)","12,999",https://rukminim1.flixcart.com/image/312/312/l0bbonk0/shopsy-mobile/k/4/l/-original-imagc4qjnkzhty3h.jpeg?q=70,https://www.flipkart.com/realme-narzo-50-speed-black-64-gb/p/itm9d47ef5d10145?pid=MOBGC2E7QBD3ARH2&lid=LSTMOBGC2E7QBD3ARH28JKTRN&marketplace=FLIPKART&q=mobiles+under+20000+camera+phone&store=tyy%2F4io&srno=s_1_9&otracker=AS_Query_OrganicAutoSuggest_4_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_8_na_na_na&fm=organic&iid=c70f77c6-5451-4328-a4ea-ddf82486c5d0.MOBGC2E7QBD3ARH2.SEARCH&ppt=None&ppn=None&ssid=ez0nwqvops0000001658448527538&qH=361303bcbce3da42
9,"REDMI 10 (Midnight Black, 64 GB)","9,999",https://rukminim1.flixcart.com/image/312/312/l0tweq80/mobile/x/f/u/-original-imagcgtghym8theg.jpeg?q=70,https://www.flipkart.com/redmi-10-midnight-black-64-gb/p/itmd93641e4ebb47?pid=MOBGC9GYEBH3GZ4E&lid=LSTMOBGC9GYEBH3GZ4EOWOH9V&marketplace=FLIPKART&q=mobiles+under+20000+camera+phone&store=tyy%2F4io&srno=s_1_10&otracker=AS_Query_OrganicAutoSuggest_4_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_8_na_na_na&fm=organic&iid=c70f77c6-5451-4328-a4ea-ddf82486c5d0.MOBGC9GYEBH3GZ4E.SEARCH&ppt=None&ppn=None&ssid=ez0nwqvops0000001658448527538&qH=361303bcbce3da42
